indonesian_original,indonesian,papua_kokas,is_augmented
bagaimana dengan kesehatanmu akhir-akhir ini,bagaimana dengan kesehatanmu akhir-akhir ini,akape adi o kesehatan akhir-akhir ige,False
apa pendapatmu tentang seni teater?,Bagaimana pendapatmu mengenai seni teater?,o pendapat akape adi seni teater?,True
apa pendapatmu tentang seni teater?,apa pendapatmu tentang seni teater?,o pendapat akape adi seni teater?,False
aku berencana untuk pergi ke jepang.,Saya berencana untuk pergi ke Jepang.,yai rencana buat ati jepang,True
aku berencana untuk pergi ke jepang.,aku berencana untuk pergi ke jepang.,yai rencana buat ati jepang,False
bagaimana perasaanmu tentang pekerjaan barumu?,Bagaimana perasaanmu mengenai pekerjaan barumu?,onawan akape adi opekerjaan beri-beri,True
bagaimana perasaanmu tentang pekerjaan barumu?,bagaimana perasaanmu tentang pekerjaan barumu?,onawan akape adi opekerjaan beri-beri,False
bagaimana perkembangan budaya di indonesia,Bagaimana perkembangan kebudayaan di Indonesia?,akape perkembangan budaya ami indonesia,True
bagaimana perkembangan budaya di indonesia,bagaimana perkembangan budaya di indonesia,akape perkembangan budaya ami indonesia,False
bagaimana cara kita bisa mendukung pelestarian satwa langka,Bagaimana cara kita dapat mendukung upaya pelestarian satwa langka?,ita cara akape bisa mendukung pelestarian satwa langka,True
bagaimana cara kita bisa mendukung pelestarian satwa langka,bagaimana cara kita bisa mendukung pelestarian satwa langka,ita cara akape bisa mendukung pelestarian satwa langka,False
kamu suka menonton film animasi?,Kamu senang menonton film animasi?,o suka afogim film animasi.,True
kamu suka menonton film animasi?,kamu suka menonton film animasi?,o suka afogim film animasi.,False
aku suka membaca buku atau menonton film di rumah.,Saya gemar membaca buku atau menonton film di rumah.,yai suka ebaca buku adi efogim film ami rumah.,True
aku suka membaca buku atau menonton film di rumah.,aku suka membaca buku atau menonton film di rumah.,yai suka ebaca buku adi efogim film ami rumah.,False
apa pendapatmu tentang astronomi saat ini,Bagaimana pandanganmu tentang astronomi saat ini?,o pendapat akape adi mincia ilmu luar angkasa saat ige,True
apa pendapatmu tentang astronomi saat ini,apa pendapatmu tentang astronomi saat ini,o pendapat akape adi mincia ilmu luar angkasa saat ige,False
bagaimana cara kamu belajar tentang karir,Bagaimana cara kamu mempelajari tentang karier?,akape o cara balajar tentang karir,True
bagaimana cara kamu belajar tentang karir,bagaimana cara kamu belajar tentang karir,akape o cara balajar tentang karir,False
bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,Bagaimana pandanganmu tentang pemanfaatan teknologi dalam pendidikan?,o pendapat akape adi penggunaan teknologi ami pendidikan nanam,True
bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,bagaimana pandanganmu tentang penggunaan teknologi dalam pendidikan,o pendapat akape adi penggunaan teknologi ami pendidikan nanam,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan?,Bagaimana cara kita dapat meningkatkan kesadaran akan pentingnya literasi keuangan?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya literasi pitis,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan?,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya literasi pitis,False
kamu suka berkuda,Kamu gemar berkuda.,o suka berkuda,True
kamu suka berkuda,kamu suka berkuda,o suka berkuda,False
apa pendapatmu tentang ai bagaimana pengalamanmu dengan ai,Bagaimana pendapatmu tentang AI dan bagaimana pengalamanmu dengan AI?,o pendapat akape adi ai akape o pengalaman adi ai,True
apa pendapatmu tentang ai bagaimana pengalamanmu dengan ai,apa pendapatmu tentang ai bagaimana pengalamanmu dengan ai,o pendapat akape adi ai akape o pengalaman adi ai,False
aku suka berlari dan yoga,Saya gemar melakukan kegiatan lari dan yoga.,yai suka efna adi yoga,True
aku suka berlari dan yoga,aku suka berlari dan yoga,yai suka efna adi yoga,False
pernahkah kamu belajar bahasa asing?,Apakah Anda pernah mempelajari bahasa dari negara lain?,opernah balajar inggris ririr?,True
pernahkah kamu belajar bahasa asing?,pernahkah kamu belajar bahasa asing?,opernah balajar inggris ririr?,False
. bagaimana caramu mendukung program literasi di indonesia?,Bagaimana upaya Anda dalam mendukung gerakan literasi di Indonesia?,o cara akape mendukung program literasi ami indonesia,True
. bagaimana caramu mendukung program literasi di indonesia?,. bagaimana caramu mendukung program literasi di indonesia?,o cara akape mendukung program literasi ami indonesia,False
pentingnya mendukung kesehatan mental di lingkungan kerja dan sosial,Mendukung kesehatan mental di tempat kerja dan lingkungan sosial sangatlah penting.,parlu tadukung kesehatan ami tompat karja adi tompat,True
pentingnya mendukung kesehatan mental di lingkungan kerja dan sosial,pentingnya mendukung kesehatan mental di lingkungan kerja dan sosial,parlu tadukung kesehatan ami tompat karja adi tompat,False
menciptakan kebiasaan sehat dalam komunikasi untuk mengatasi konflik keluarga,Membentuk kebiasaan komunikasi yang sehat untuk menyelesaikan konflik dalam keluarga.,tana ita biasa sehat ami tafrokwai buat ta atasi konflik ami keluarga,True
menciptakan kebiasaan sehat dalam komunikasi untuk mengatasi konflik keluarga,menciptakan kebiasaan sehat dalam komunikasi untuk mengatasi konflik keluarga,tana ita biasa sehat ami tafrokwai buat ta atasi konflik ami keluarga,False
bagaimana cara kamu menjaga kebersihan rumah,Bagaimana Anda menjaga rumah agar tetap bersih?,o cara akape menjaga kebersihan tompat tinggal,True
bagaimana cara kamu menjaga kebersihan rumah,bagaimana cara kamu menjaga kebersihan rumah,o cara akape menjaga kebersihan tompat tinggal,False
bagaimana pandanganmu tentang perkembangan ekonomi kreatif di indonesia,Apa pendapat Anda mengenai perkembangan ekonomi kreatif di Indonesia?,o pandangan akape adi perkembangan ekonomi kreatif ami indonesia,True
bagaimana pandanganmu tentang perkembangan ekonomi kreatif di indonesia,bagaimana pandanganmu tentang perkembangan ekonomi kreatif di indonesia,o pandangan akape adi perkembangan ekonomi kreatif ami indonesia,False
menghargai peran lansia dalam keluarga sebagai sumber pengetahuan dan pengalaman,Menghargai peran orang lanjut usia dalam keluarga sebagai sumber ilmu dan pengalaman hidup.,ta hargai peran lansia ami keluarga sebagai sumber pengetahuan adi pengalaman,True
menghargai peran lansia dalam keluarga sebagai sumber pengetahuan dan pengalaman,menghargai peran lansia dalam keluarga sebagai sumber pengetahuan dan pengalaman,ta hargai peran lansia ami keluarga sebagai sumber pengetahuan adi pengalaman,False
saya ingin belajar memasak lebih banyak hidangan,Saya berkeinginan untuk mempelajari lebih banyak resep masakan.,yai eimau balajar afrubir kwai hidangan lebih yani,True
saya ingin belajar memasak lebih banyak hidangan,saya ingin belajar memasak lebih banyak hidangan,yai eimau balajar afrubir kwai hidangan lebih yani,False
partisipasi aktif masyarakat diperlukan dalam proses politik,Keterlibatan aktif masyarakat sangat dibutuhkan dalam proses politik.,masyarakat sina karja sama ta parlu ami nanam proses politik,True
partisipasi aktif masyarakat diperlukan dalam proses politik,partisipasi aktif masyarakat diperlukan dalam proses politik,masyarakat sina karja sama ta parlu ami nanam proses politik,False
bagaimana pandanganmu tentang pentingnya pendidikan anti-korupsi?,Bagaimana pandangan Anda mengenai pentingnya pendidikan anti-korupsi?,o pandangan akape adi pentingnya ta sakolah anti afnagakwai?,True
bagaimana pandanganmu tentang pentingnya pendidikan anti-korupsi?,bagaimana pandanganmu tentang pentingnya pendidikan anti-korupsi?,o pandangan akape adi pentingnya ta sakolah anti afnagakwai?,False
bagaimana cara kita bisa mendukung program kesehatan lansia?,Bagaimana cara kita dapat mendukung program kesehatan untuk lansia?,akape ita cara bisa ta dukung program kesehatan kasuk wanas,True
bagaimana cara kita bisa mendukung program kesehatan lansia?,bagaimana cara kita bisa mendukung program kesehatan lansia?,akape ita cara bisa ta dukung program kesehatan kasuk wanas,False
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak polusi plastik di perairan?","Menurut Anda, langkah apa saja yang dapat dilakukan untuk mengurangi dampak polusi plastik di perairan?",menurut o kusafa watan yang bisa tana buat takurangi dampak polusi plastik ami wer sasik nanam,True
"menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak polusi plastik di perairan?","menurutmu, apa saja langkah yang bisa diambil untuk mengurangi dampak polusi plastik di perairan?",menurut o kusafa watan yang bisa tana buat takurangi dampak polusi plastik ami wer sasik nanam,False
kita akan pergi ke pantai besok pagi,Kami berencana pergi ke pantai besok pagi.,ita akan tati sasik mifan utaf purnanam,True
kita akan pergi ke pantai besok pagi,kita akan pergi ke pantai besok pagi,ita akan tati sasik mifan utaf purnanam,False
saya ingin mengganti oli mobil,Saya ingin melakukan penggantian oli mobil.,yai emau eganti oli mobil,True
saya ingin mengganti oli mobil,saya ingin mengganti oli mobil,yai emau eganti oli mobil,False
apa pendapatmu tentang pentingnya inovasi dalam pendidikan tinggi?,Apa pendapat Anda tentang pentingnya inovasi di perguruan tinggi?,o pendapat akape adi pentingnya tana perubahan ami nanam sakolah katirtirig,True
apa pendapatmu tentang pentingnya inovasi dalam pendidikan tinggi?,apa pendapatmu tentang pentingnya inovasi dalam pendidikan tinggi?,o pendapat akape adi pentingnya tana perubahan ami nanam sakolah katirtirig,False
apa yang kamu suka tentang sejarah,Apa yang Anda sukai dari ilmu sejarah?,kwai kusafa yang o suka adi sejarah,True
apa yang kamu suka tentang sejarah,apa yang kamu suka tentang sejarah,kwai kusafa yang o suka adi sejarah,False
apa pandanganmu tentang pentingnya olahraga rutin bagi kesehatan?,Bagaimana pandangan Anda tentang pentingnya berolahraga secara rutin bagi kesehatan?,o pandangan akape adi pentingnya olahraga rutin buat ita kesehatan,True
apa pandanganmu tentang pentingnya olahraga rutin bagi kesehatan?,apa pandanganmu tentang pentingnya olahraga rutin bagi kesehatan?,o pandangan akape adi pentingnya olahraga rutin buat ita kesehatan,False
saya akan menerima tamu dari luar kota besok.,Saya akan kedatangan tamu dari luar kota besok.,yai emau tarima tamu ati urag luar utaf,True
saya akan menerima tamu dari luar kota besok.,saya akan menerima tamu dari luar kota besok.,yai emau tarima tamu ati urag luar utaf,False
saya akan mengajakmu ke pameran seni malam ini,Saya akan mengundang Anda untuk mengunjungi pameran seni malam ini.,emau eajak o ati pameran seni misyag ige,True
saya akan mengajakmu ke pameran seni malam ini,saya akan mengajakmu ke pameran seni malam ini,emau eajak o ati pameran seni misyag ige,False
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan,Bagaimana cara meningkatkan kesadaran mengenai pentingnya literasi keuangan?,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya literasi pitis,True
bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan,bagaimana cara kita bisa meningkatkan kesadaran akan pentingnya literasi keuangan,akape ita cara bisa ta tingkatkan kesadaran akan pentingnya literasi pitis,False
"iya, aku punya seekor anjing kecil.","Ya, saya memiliki seekor anjing berukuran kecil.","yo, e yasianak girif isa",True
"iya, aku punya seekor anjing kecil.","iya, aku punya seekor anjing kecil.","yo, e yasianak girif isa",False
keluarga dapat memberikan rasa identitas dan keamanan kepada individu,Individu dapat memperoleh rasa identitas dan keamanan dari keluarga.,ita koluarga dapat ana rasa identitas adi keamanan ati individu,True
keluarga dapat memberikan rasa identitas dan keamanan kepada individu,keluarga dapat memberikan rasa identitas dan keamanan kepada individu,ita koluarga dapat ana rasa identitas adi keamanan ati individu,False
bagaimana cara kita bisa mendukung program rehabilitasi lahan kritis,Bagaimana upaya yang dapat dilakukan untuk mendukung program rehabilitasi lahan kritis?,ita cara akape bisa mendukung program rehabilitasi lahan kritis,True
bagaimana cara kita bisa mendukung program rehabilitasi lahan kritis,bagaimana cara kita bisa mendukung program rehabilitasi lahan kritis,ita cara akape bisa mendukung program rehabilitasi lahan kritis,False
"saya merasa kelelahan, mungkin saya perlu istirahat sebentar","Saya merasa lelah, mungkin perlu beristirahat sejenak.","erasa lelah, mungkin yai parlu istirahat kuruki sa",True
"saya merasa kelelahan, mungkin saya perlu istirahat sebentar","saya merasa kelelahan, mungkin saya perlu istirahat sebentar","erasa lelah, mungkin yai parlu istirahat kuruki sa",False
aku pikir media sosial sangat berpengaruh dalam kehidupan kita.,"Menurut saya, media sosial memiliki pengaruh yang sangat besar dalam kehidupan kita.",yai pikir media sosial sangat berpengaruh ami ita kehidupan,True
aku pikir media sosial sangat berpengaruh dalam kehidupan kita.,aku pikir media sosial sangat berpengaruh dalam kehidupan kita.,yai pikir media sosial sangat berpengaruh ami ita kehidupan,False
penggunaan energi terbarukan dapat mengurangi polusi udara,Polusi udara dapat dikurangi dengan penggunaan energi terbarukan.,penggunaan energi beri-beri dapat tana kurang dirig kotor,True
penggunaan energi terbarukan dapat mengurangi polusi udara,penggunaan energi terbarukan dapat mengurangi polusi udara,penggunaan energi beri-beri dapat tana kurang dirig kotor,False
pendidikan sebagai sarana untuk memahami dan mengatasi masalah pengungsi dan migran,Pendidikan berperan sebagai sarana untuk memahami serta mengatasi masalah pengungsi dan migran.,a sekolah nukwa alat buat ta pahami adi ta atasi pengungsian adi pindah tompat tinggal,True
pendidikan sebagai sarana untuk memahami dan mengatasi masalah pengungsi dan migran,pendidikan sebagai sarana untuk memahami dan mengatasi masalah pengungsi dan migran,a sekolah nukwa alat buat ta pahami adi ta atasi pengungsian adi pindah tompat tinggal,False
. apa yang kamu sukai dari alam indonesia?,Apa yang Anda sukai dari alam Indonesia?,o mi suka kusafa afi alam indonesia?,True
. apa yang kamu sukai dari alam indonesia?,. apa yang kamu sukai dari alam indonesia?,o mi suka kusafa afi alam indonesia?,False
. bagaimana pendapatmu tentang perkembangan seni pertunjukan di indonesia?,Bagaimana pandangan Anda mengenai perkembangan seni pertunjukan di Indonesia?,o pendapat akape adi perkembangan seni pertunjukkan ami indonesia,True
. bagaimana pendapatmu tentang perkembangan seni pertunjukan di indonesia?,. bagaimana pendapatmu tentang perkembangan seni pertunjukan di indonesia?,o pendapat akape adi perkembangan seni pertunjukkan ami indonesia,False
saya suka bermain game teka-teki di waktu luang,"Di waktu luang, saya gemar bermain permainan teka-teki.",yai suka amnagin game teka-teki ami waktu longgar,True
